address,name,social,index,initial_balance_usd,total_usd_sold
MASKED,MASKED,MASKED,102,1300.0,72151.48
0x26737fb3fb631a057a085b51af5087e578b02584,valcastx,https://x.com/valcastx,103,1300.0,175793.08
0x502ed3a93cd7816ad4c05608ae39af2c977d4a5e,CryptoKaleo,https://x.com/CryptoKaleo,104,1300.0,33260.47
0x311aa4fbc92e0f712c006ab20111c5f77ddb8c79,Browncappp,https://x.com/Browncappp,105,1300.0,102338.87
0x46f71831f063e293b14f32cdc42fb3a7021c4b4a,EasyEatsBodega,https://x.com/EasyEatsBodega,106,1300.0,69878.88
MASKED,MASKED,MASKED,107,1300.0,41584.78
0x77bbd90b6b4bb049979056219f47df8242098b24,BlockchainToast,https://x.com/BlockchainToast,108,1300.0,30965.98
MASKED,MASKED,MASKED,109,1300.0,0.0
0x3481148cfb89f3d6b95c48ae44598a9ccafc004a,SeMenSlay,https://x.com/SeMenSlay,110,1300.0,10397.36
0xa3b64966a6c9dfa52873d2ea749d40c2103bfb91,_acap_acap,https://x.com/_acap_acap,111,1300.0,48767.56
0xe3a55235044f9dbb5ccb4f91c19b9b23e3e25294,AllBull_NoShit,https://x.com/AllBull_NoShit,112,1300.0,26629.4
0xa1eb063e50bd82f3b511bac3084abd67cf79afd4,CaesarJulius0,https://x.com/CaesarJulius0,113,1300.0,3311.52
MASKED,MASKED,MASKED,114,1300.0,1856.79
0x1288bd6fb416d77e93eb5787c276d74526ca6043,AWM11_9000,https://x.com/AWM11_9000,115,1300.0,15211.82
0xfb0184ccfe2ef151ce05dfa92acab85e5c41c730,NOCHILLIONAIRE,https://x.com/NOCHILLIONAIRE,116,1300.0,5333.09
0x1afd1968f6081c88dad6da186cc15286512e90c6,Sheenameaana,https://x.com/Sheenameaana,117,1300.0,230602.22
MASKED,MASKED,MASKED,118,1300.0,0.0
MASKED,MASKED,MASKED,119,1300.0,9945.02
0x9b8c55e8f77618013fba3aca621e128593d8b96d,LickmyPaposaco,https://x.com/LickmyPaposaco,120,1300.0,12992.44
0xa475b14497c491d320f11915d498110cf68fc4fc,born2hodl,https://x.com/born2hodl,121,1300.0,4270.45
0x348024eda1453beabbc0241be32a2ce6b5018192,hn_avax,https://x.com/hn_avax,122,1300.0,6900.12
0xa0338cd77f6edd8a2f8670eed4bc21cf908ab918,gabrielrvita,https://x.com/gabrielrvita,123,1300.0,55602.01
0xa93ca201c9a3c74fbe2f2d9bf1cfd23f2afa0e95,MaxMantegna,https://x.com/MaxMantegna,124,1300.0,22732.27
MASKED,MASKED,MASKED,125,1300.0,20063.74
MASKED,MASKED,MASKED,126,1300.0,0.0
MASKED,MASKED,MASKED,127,1300.0,0.0
0x2c0ad3ffb832ca5643983f2e99a7bd85c72c34ef,Flowslikeosmo,https://x.com/Flowslikeosmo,128,1300.0,119212.44
0x2e5bb537c9608c411755549d401793d32ff79f55,0x_Taez,https://x.com/0x_Taez,129,1300.0,0.0
0xdc22d7bb6989a4928c061a625be9b621abca37bf,HumpingUnic0rns,https://x.com/HumpingUnic0rns,130,1300.0,0.0
0x7b65e9a5c8f5b788d487a227039c8dc51bff6e33,0xNasta,https://x.com/0xNasta,131,1300.0,31857.26
0x353930dd6eff69470b75664230cdb97dfd0ab6d1,Paps0x,https://x.com/Paps0x,132,1300.0,25563.37
0x44096f12dca2bbb783c86f84af4e9ee4b80f8b87,0xWichita,https://x.com/0xWichita,133,1300.0,25693.86
MASKED,MASKED,MASKED,134,1300.0,0.0
0x6dcefd396a949a75b3a646b608eddc7c325b818d,Wrathtank_avax,https://x.com/Wrathtank_avax,135,1300.0,603.42
MASKED,MASKED,MASKED,136,1300.0,3645.57
0x00d3be15cc9a9d071b6810531fbac7938c50ac39,Shwaver,https://x.com/Shwaver,137,1300.0,464.72
0x18aca3af2677ed739586497853c52e3f1cf6bf4f,MinisterOfNFTs,https://x.com/MinisterOfNFTs,138,1300.0,57514.65
0x4f0561ef71104275ba0e98ea6a5a05a39c36885c,AltLoot,https://x.com/AltLoot,139,1300.0,6691.49
0xd5e0ef8a3bb592dc9c72e5af9c1072df48eb049f,Myth0ne_,https://x.com/Myth0ne_,140,1300.0,3345.56
0x7fb95a26ef374a704c06fccb73d6288c6007edf1,MilkMan7152,https://x.com/MilkMan7152,141,1300.0,49434.74
MASKED,MASKED,MASKED,142,1300.0,1337.2
MASKED,MASKED,MASKED,143,1300.0,0.0
0x81a0138d018b2aa90de06cc46d59868ef5b88aa1,grenvilleriley,https://x.com/grenvilleriley,144,1300.0,7565.49
0x7684f4c666be0825ecd64eed0d596e157b2127a5,crypto_glennl,https://x.com/crypto_glennl,145,1300.0,116875.13
MASKED,MASKED,MASKED,146,1300.0,0.0
0x1f351b1caf0b7037353cd284a6a225cecce5677b,hebenickas,https://x.com/hebenickas,147,1300.0,9497.4
0x0c73dd476a66b40a9524f5b9252894488e78c9da,pooostal,https://x.com/pooostal,148,1300.0,41804.57
MASKED,MASKED,MASKED,149,1300.0,0.0
0xd106ca85e27365b2862984c17915e378c34b4b45,TradingAloha,https://x.com/TradingAloha,150,1300.0,29625.93
0x7b6e1d869e32ade209bef692a11977f20e2c0570,boxofcorey,https://x.com/boxofcorey,151,1300.0,61995.73
0x69155e7ca2e688ccdc247f6c4ddf374b3ae77bd6,_MrBang_,https://x.com/_MrBang_,152,1300.0,83587.93
0x6f3607c227b2470db1daef4fcb35414facba5739,moneyduplos,https://x.com/moneyduplos,153,1300.0,10972.86
MASKED,MASKED,MASKED,154,1300.0,88063.73
0x83e7322328d902940c490634396860d875e448c2,poogazeth,https://x.com/poogazeth,155,1300.0,80501.79
0xc516899a6c5141099b0d84e10ac1f1ae65555ce0,michael_vierson,https://x.com/michael_vierson,156,1300.0,50273.13
0x740cf5f0031cf3fb000be3eaa4086726917c6b7e,lesCogumelos26,https://x.com/lesCogumelos26,157,1300.0,42024.04
0xb00dfbf7f36a035edf8737c84a55169bc87b4223,JamesGobbo,https://x.com/JamesGobbo,158,1300.0,42445.69
0xbcc931e3bffad7cf52b76b96fb05eb6eda4f8e39,AdamHustles,https://x.com/AdamHustles,159,1300.0,45338.04
0x832a4360dbe0124cf2b8f35a0ead73810b71d281,Samwise_smith_,https://x.com/Samwise_smith_,160,1300.0,54462.09
0x65141f6e93652581b4b2a071a4e353f83b8ba30c,WindyJohnX,https://x.com/WindyJohnX,161,1300.0,63638.3
0x704528ae459c3bb801c5126d37d2fc5317fdbf24,CirrusNFT,https://x.com/CirrusNFT,162,1300.0,30908.84
0x879c405922ffb8251bddf7df06e02a58b10837f3,Pilla_eth,https://x.com/Pilla_eth,163,1300.0,52624.49
0x89e6039f12ed62d224b11f31941bdb1c68e05cc0,pepetard69,https://x.com/pepetard69,164,1300.0,45698.22
